,Symbol,Bid,Ask,Datetime,Timestamp
32,BTC/USDT,"[25786.0, 0.001]","[25787.0, 0.73221369]",2023-09-01 17:09:18.228448,
33,BTC/USDT,"[25773.0, 0.18107619]","[25774.0, 0.00058203]",2023-09-01 17:10:18.396503,
34,BTC/USDT,"[25759.0, 0.03143496]","[25765.0, 0.2082]",2023-09-01 17:11:18.651961,
35,BTC/USDT,"[25761.0, 0.18127619]","[25765.0, 0.1865]",2023-09-01 17:12:18.873258,
36,BTC/USDT,"[25790.0, 0.58800287]","[25791.0, 0.0011]",2023-09-01 17:13:19.013661,
37,BTC/USDT,"[25797.0, 0.07014278]","[25799.0, 0.1871]",2023-09-01 17:14:19.142954,
38,BTC/USDT,"[25799.0, 0.15895903]","[25800.0, 0.00045828]",2023-09-01 17:15:19.319077,
39,BTC/USDT,"[25796.0, 0.049836]","[25797.0, 0.1403]",2023-09-01 17:16:19.461361,
40,BTC/USDT,"[25780.0, 0.8381707]","[25783.0, 0.1203]",2023-09-01 17:17:19.619789,
41,BTC/USDT,"[25788.0, 0.89202994]","[25789.0, 0.00058168]",2023-09-01 17:18:19.837275,
42,BTC/USDT,"[25796.0, 1.0203]","[25803.0, 0.3023]",2023-09-01 17:19:20.840094,
43,BTC/USDT,"[25804.0, 0.04996288]","[25807.0, 0.31478097]",2023-09-01 17:20:21.070981,
44,BTC/USDT,"[25804.0, 0.06545888]","[25809.0, 0.01]",2023-09-01 17:21:21.186317,
45,BTC/USDT,"[25804.0, 0.00238428]","[25807.0, 0.0920428]",2023-09-01 17:22:21.296746,
46,BTC/USDT,"[25802.0, 0.04925973]","[25804.0, 0.01]",2023-09-01 17:23:21.607023,
47,BTC/USDT,"[25808.0, 0.27935903]","[25809.0, 0.00058122]",2023-09-01 17:24:21.720405,
48,BTC/USDT,"[25828.0, 0.16905903]","[25829.0, 0.0011]",2023-09-01 17:25:21.873873,
49,BTC/USDT,"[25850.0, 0.83623365]","[25851.0, 0.35610241]",2023-09-01 17:26:22.020107,
50,BTC/USDT,"[25879.0, 1.06905903]","[25880.0, 0.00104]",2023-09-01 17:27:22.183129,
51,BTC/USDT,"[25907.0, 0.9]","[25916.0, 0.1591]",2023-09-01 17:28:22.449164,
52,BTC/USDT,"[25912.0, 0.04875903]","[25919.0, 0.1829]",2023-09-01 17:29:22.599007,
53,BTC/USDT,"[25905.0, 0.00057412]","[25911.0, 0.2062]",2023-09-01 17:30:23.117218,
54,BTC/USDT,"[25902.0, 0.13784912]","[25905.0, 0.1589]",2023-09-01 17:31:23.304093,
55,BTC/USDT,"[25895.0, 0.00057896]","[25900.0, 0.015442]",2023-09-01 17:32:23.506594,
56,BTC/USDT,"[25916.0, 0.20805903]","[25917.0, 0.00015493]",2023-09-01 17:33:23.730221,
57,BTC/USDT,"[25944.0, 0.00057808]","[25945.0, 0.35703452]",2023-09-01 17:34:23.904595,
58,BTC/USDT,"[25916.0, 0.001]","[25917.0, 0.17419403]",2023-09-01 17:35:24.111808,
59,BTC/USDT,"[25900.0, 0.82953804]","[25904.0, 0.1193]",2023-09-01 17:36:24.238987,
